timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
7/17/2020,287540,288170,285972,286140,286140,260,0,1
7/16/2020,282560,287770,282560,286271,286271,280,0,1
7/15/2020,289500,289730,283620,285520,285520,450,0,1
7/14/2020,274000,285000,274000,284780,284780,430,0,1
7/13/2020,275540,278640,275100,276015,276015,500,0,1
7/10/2020,268238,274450,268000,273900,273900,330,0,1
7/9/2020,271770,272220,267307,268780,268780,390,0,1
7/8/2020,271000,273664,270076,271770,271770,270,0,1
7/7/2020,272830,273870,271057,271640,271640,410,0,1
7/6/2020,274180,275080,272600,274050,274050,550,0,1
7/2/2020,270800,271500,267420,267551,267551,470,0,1
7/1/2020,267600,270500,266357,267020,267020,380,0,1
6/30/2020,265400,268600,265067,267300,267300,520,0,1
6/29/2020,264320,265803,263600,265219,265219,380,0,1
6/26/2020,267500,268108.59,262700,263400,263400,791,0,1
6/25/2020,265000.01,269678.28,264611.06,267840.02,267840.02,410,0,1
6/24/2020,269800,269800,266200,266440,266440,729,0,1
6/23/2020,272750,273789.83,271115,272700,272700,884,0,1
6/22/2020,269047.25,271999.9,268200,271999.9,271999.9,851,0,1
6/19/2020,274160,274429,268807.26,271600,271600,912,0,1
6/18/2020,270500,273000,269300,273000,273000,756,0,1
6/17/2020,274849,275000,270870.06,275000,275000,821,0,1
6/16/2020,279945,279945,270000,273480,273480,945,0,1
6/15/2020,266400,272530,264030,271956,271956,812,0,1
6/12/2020,275730,276800,267592.51,271515,271515,644,0,1
6/11/2020,277750,280279.99,267000,267729,267729,910,0,1
6/10/2020,293900,294492.99,287200,287200,287200,400,0,1
6/9/2020,295501,298220,293799.06,293955,293955,412,0,1
6/8/2020,303594,304990.01,299400,302235,302235,605,0,1
6/5/2020,294505,302095.06,294200,300920,300920,634,0,1
6/4/2020,285804,288000,284377.33,287878,287878,315,0,1
6/3/2020,283100,287369.99,281800,286090,286090,440,0,1
6/2/2020,275601,279410,275601,278560,278560,353,0,1
6/1/2020,278167,278167,275000,275600,275600,303,0,1
5/29/2020,275000,278640,273850,278640,278640,358,0,1
5/28/2020,280899,280899,276000,277035,277035,396,0,1
5/27/2020,276755,278999.68,275850,278495,278495,486,0,1
5/26/2020,269900,272499.99,268095,270330,270330,558,0,1
5/22/2020,262000,263094,259990,263094,263094,258,0,1
5/21/2020,264200,264929.99,261640.57,261906,261906,310,0,1
5/20/2020,261880,265130,261500,264100,264100,249,0,1
5/19/2020,260800,262200,258700,258700,258700,285,0,1
5/18/2020,260000,265002,258510.55,262900,262900,618,0,1
5/15/2020,254585.95,256100,252801.23,253500.75,253500.75,262,0,1
5/14/2020,254000,257261.99,250926.02,256230,256230,388,0,1
5/13/2020,259499,259499,255000,255715,255715,586,0,1
5/12/2020,262701,263800,260000,260000,260000,304,0,1
5/11/2020,264320.01,264397.74,260901,261601.17,261601.17,437,0,1
5/8/2020,264565.95,266105,261990,265280,265280,302,0,1
5/7/2020,260110,263710,260110,260750,260750,369,0,1
5/6/2020,265000,266400,259100,259100,259100,510,0,1
5/5/2020,269999,270000,264280,264280,264280,457,0,1
5/4/2020,270000,270000,265000,267080,267080,612,0,1
5/1/2020,278121,278710,272520,273975,273975,571,0,1
4/30/2020,283200,284452.5,280280,281700,281700,486,0,1
4/29/2020,286400,288888,283800,284749,284749,773,0,1
4/28/2020,285400,286479.91,280600,280600,280600,572,0,1
4/27/2020,280910.95,284039,279855,281264,281264,764,0,1
4/24/2020,280100,280130,276601.5,279460,279460,543,0,1
4/23/2020,280000,280888,277267.65,278750,278750,586,0,1
4/22/2020,280000,280888,278000.08,279660,279660,685,0,1
4/21/2020,275950,278609.91,275000,275750,275750,650,0,1
4/20/2020,282200,283800,281000,282800,282800,721,0,1
4/17/2020,289585.01,289585.01,283600,284400,284400,819,0,1
4/16/2020,283750,283750.99,278800,282281.99,282281.99,779,0,1
4/15/2020,284500,284500,281201.01,283750,283750,562,0,1
4/14/2020,291400,291533.33,286392.75,289730.26,289730.26,672,0,1
4/13/2020,290950.01,290950.01,279060,282800,282800,565,0,1
4/9/2020,290950,295764.67,287220,290500,290500,562,0,1
4/8/2020,280850,287000,278280.01,286999,286999,410,0,1
4/7/2020,285010,287000,276700,276700,276700,700,0,1
4/6/2020,273001,279500,271444.01,277260,277260,611,0,1
4/3/2020,268700,270204.9,263242.02,267954,267954,293,0,1
4/2/2020,262130.95,271475,261894.99,271475,271475,897,0,1
4/1/2020,265900,267850,261180,261250,261250,892,0,1
3/31/2020,272635.5,279140,270845.27,272000,272000,506,0,1
3/30/2020,269410,276000,267020.47,274021,274021,423,0,1
3/27/2020,267600,276362.75,265337.33,268126,268126,599,0,1
3/26/2020,270800,277162.74,269500,276095,276095,757,0,1
3/25/2020,269200,283325,262710,270759,270759,957,0,1
3/24/2020,255225.5,268500,254500,267090,267090,1220,0,1
3/23/2020,249000,250000,239440,240000,240000,1296,0,1
3/20/2020,265000,265000,251000,257346,257346,1217,0,1
3/19/2020,251100,264440,250000,261690,261690,1116,0,1
3/18/2020,266000.05,270873.99,251101,256300,256300,1462,0,1
3/17/2020,275000,280619.13,268000,280248,280248,1225,0,1
3/16/2020,260000.26,283480,260000,268000,268000,722,0,1
3/13/2020,283499.99,295972,270210,289000,289000,1075,0,1
3/12/2020,276550,282000,266799.99,272000,272000,1859,0,1
3/11/2020,296550,297472.99,290400,292130,292130,563,0,1
3/10/2020,301950,304199,293500,303561,303561,748,0,1
3/9/2020,292300,298670.01,290000,290005,290005,1057,0,1
3/6/2020,309000,311257.76,304767.24,310894,310894,459,0,1
3/5/2020,318605,318605,311250.08,315000,315000,384,0,1
3/4/2020,321000,327246,314607.24,326125,326125,352,0,1
3/3/2020,322550,327000,310000,313914,313914,427,0,1
3/2/2020,314000,327937,308100,324500,324500,485,0,1
2/28/2020,304000,310337,300750.02,309096,309096,709,0,1
2/27/2020,320480,322291.99,312501,312619,312619,549,0,1
2/26/2020,328200,330602.75,324301,324301,324301,393,0,1
2/25/2020,333195.07,335000,325900,328000,328000,551,0,1
2/24/2020,334999.99,336162.67,330940,333190,333190,739,0,1
2/21/2020,341850,344975,340600,343449,343449,204,0,1
2/20/2020,343750,344642.35,340965.01,342122,342122,287,0,1
2/19/2020,340655.75,344427.75,340317,344000,344000,258,0,1
2/18/2020,340223.94,341000,338000,339745,339745,198,0,1
2/14/2020,339487.5,340600,338437.49,340223.94,340223.94,121,0,1
2/13/2020,340500,341047.71,338500,338500,338500,255,0,1
2/12/2020,341900,343146.05,340403.53,341000,341000,210,0,1
2/11/2020,342350,342350,340461.05,340780,340780,151,0,1
2/10/2020,340904,341078.01,338000,340361,340361,180,0,1
2/7/2020,342000,342775,340345,340900,340900,180,0,1
2/6/2020,344290,345000,343070,344081,344081,185,0,1
2/5/2020,340399.99,342909.84,340359.38,342615,342615,341,0,1
2/4/2020,339220,340295.67,337280,337421,337421,220,0,1
2/3/2020,338160,339450,334580,334860.01,334860.01,194,0,1
1/31/2020,339855,339855,335120.02,335996.01,335996.01,294,0,1
1/30/2020,334360,342000,334360,342000,342000,227,0,1
1/29/2020,336250,339400,336250,336476.01,336476.01,143,0,1
1/28/2020,335600,338000,335031.95,336000.01,336000.01,232,0,1
1/27/2020,334450,335450,332000,333621,333621,515,0,1
1/24/2020,342850,343520,339139.18,340199.05,340199.05,294,0,1
1/23/2020,343596,344600,341150,344414,344414,200,0,1
1/22/2020,343100,345500,342680,344700,344700,244,0,1
1/21/2020,345000,346699.99,342185,342650,342650,277,0,1
1/17/2020,345000,347400,344550.01,344970,344970,229,0,1
1/16/2020,343155,345000,342805.51,344505,344505,204,0,1
1/15/2020,340450,342950,340450,342550,342550,125,0,1
1/14/2020,341101,342500,340489.99,340706,340706,162,0,1
1/13/2020,340600.09,342855,339560.01,342855,342855,205,0,1
1/10/2020,342796,342850,340000,340185,340185,144,0,1
1/9/2020,341100,343263,340800,343263,343263,278,0,1
1/8/2020,339450,341580,338850,339188,339188,192,0,1
1/7/2020,340000,340000,338200,338901,338901,279,0,1
1/6/2020,337750,340340,337100,340210,340210,275,0,1
1/3/2020,338206.72,341040,337755,339155,339155,222,0,1
1/2/2020,341150,342261,340065,342261,342261,408,0,1
12/31/2019,338750,340000,337920,339590,339590,142,0,1
12/30/2019,339000,339960,337025.05,338750,338750,333,0,1
12/27/2019,339600,340550,338340,338920.02,338920.02,164,0,1
12/26/2019,339725,339725,338439,339650,339650,142,0,1
12/24/2019,337920,338389.9,337649,338389.9,338389.9,77,0,1
12/23/2019,339000,339850,337632.5,338045,338045,215,0,1
12/20/2019,340219,341754.84,338567.25,339850,339850,305,0,1
12/19/2019,337320,338498.69,336065,337491,337491,459,0,1
12/18/2019,340250,340646,337400,337500,337500,247,0,1
12/17/2019,340807.25,342250,339000,339000,339000,274,0,1
12/16/2019,339850,341784.99,339312.64,340380,340380,324,0,1
12/13/2019,337754,339704.44,336000,338080.1,338080.1,209,0,1
12/12/2019,334330,339769.58,334330,338800,338800,628,0,1
12/11/2019,331424,333900,331424,333600,333600,277,0,1
12/10/2019,331904,333004.68,330670.01,332120,332120,462,0,1
12/9/2019,333640,334998,331770,331904,331904,189,0,1
